HostCount,Run,Algorithm,BestFitness,Power,Load,Network,Link
16,1,ACO,209764.2935,1790.37,0.0052,27696,0.3980
16,1,PSO,FAILED,1790.37,0.0052,27696,0.3980
16,1,Hybrid_ACO_PSO,209764.2935,1790.37,0.0052,27696,0.3980
16,2,ACO,208816.5337,1791.44,0.0051,26536,0.4224
16,2,PSO,FAILED,1791.44,0.0051,26536,0.4224
16,2,Hybrid_ACO_PSO,208310.4906,1791.44,0.0044,26324,0.3910
16,3,ACO,208805.0264,1786.72,0.0074,26788,0.3748
16,3,PSO,FAILED,1786.72,0.0074,26788,0.3748
16,3,Hybrid_ACO_PSO,208709.7701,1786.72,0.0053,26882,0.4178
16,4,ACO,208746.6839,1789.04,0.0048,26698,0.4366
16,4,PSO,FAILED,1789.04,0.0048,26698,0.4366
16,4,Hybrid_ACO_PSO,208666.7632,1789.04,0.0050,26590,0.4366
16,5,ACO,207078.8467,1791.02,0.0060,24874,0.3820
16,5,PSO,FAILED,1791.02,0.0060,24874,0.3820
16,5,Hybrid_ACO_PSO,206794.2812,1791.02,0.0046,24872,0.3820
18,1,ACO,229334.8030,1987.85,0.0047,27556,0.4128
18,1,PSO,232293.9146,1987.84,0.0137,28698,0.4154
18,1,Hybrid_ACO_PSO,229277.6773,1987.85,0.0038,27676,0.4128
18,2,ACO,227808.3763,1988.19,0.0081,25290,0.4178
18,2,PSO,229218.5034,1988.19,0.0106,26338,0.3882
18,2,Hybrid_ACO_PSO,227206.7453,1988.19,0.0043,25454,0.4140
18,3,ACO,228110.3099,1985.84,0.0054,26520,0.3858
18,3,PSO,231473.6700,1985.84,0.0143,28152,0.3764
18,3,Hybrid_ACO_PSO,228013.6020,1985.84,0.0051,26482,0.3858
18,4,ACO,229011.1094,1986.76,0.0060,27100,0.4054
18,4,PSO,231018.3726,1986.76,0.0095,28436,0.4030
18,4,Hybrid_ACO_PSO,228310.6633,1986.76,0.0034,26924,0.4054
18,5,ACO,226838.5188,1986.35,0.0072,24818,0.3894
18,5,PSO,FAILED,1986.35,0.0072,24818,0.3894
18,5,Hybrid_ACO_PSO,226327.7798,1986.35,0.0069,24650,0.3332
20,1,ACO,247502.2829,2183.64,0.0060,26210,0.3448
20,1,PSO,230498.9251,1983.64,0.0103,28032,0.4102
20,1,Hybrid_ACO_PSO,229488.7069,1983.64,0.0057,28032,0.3914
20,2,ACO,238512.6814,2088.24,0.0118,25552,0.3572
20,2,PSO,242154.3342,2088.24,0.0184,27480,0.4348
20,2,Hybrid_ACO_PSO,237953.4955,2088.24,0.0091,25526,0.3572
20,3,ACO,250745.4127,2191.43,0.0062,28420,0.3896
20,3,PSO,244031.7206,2091.43,0.0130,29958,0.4648
20,3,Hybrid_ACO_PSO,242441.6158,2091.43,0.0075,29650,0.4282
20,4,ACO,238707.2869,2085.36,0.0098,26358,0.3688
20,4,PSO,230504.4379,1985.36,0.0149,26976,0.4036
20,4,Hybrid_ACO_PSO,228760.1508,1985.36,0.0075,26842,0.3774
20,5,ACO,239726.5597,2089.93,0.0105,26796,0.3668
20,5,PSO,242494.5748,2089.93,0.0173,27976,0.4130
20,5,Hybrid_ACO_PSO,238602.3682,2089.93,0.0044,26888,0.3668
30,1,ACO,311723.6301,2785.86,0.0155,28144,0.3780
30,1,PSO,252041.2540,2185.86,0.0145,28460,0.4184
30,1,Hybrid_ACO_PSO,249577.0497,2185.86,0.0073,27578,0.3888
30,2,ACO,319966.2866,2890.96,0.0140,26600,0.2956
30,2,PSO,260820.9654,2290.96,0.0161,26510,0.3990
30,2,Hybrid_ACO_PSO,251448.8563,2190.96,0.0204,26310,0.3934
30,3,ACO,327066.3215,2978.43,0.0080,26240,0.2750
30,3,PSO,238533.9902,2078.43,0.0114,26506,0.3820
30,3,Hybrid_ACO_PSO,237896.3022,2078.43,0.0097,26194,0.3820
30,4,ACO,329635.6560,2985.33,0.0118,27154,0.3158
30,4,PSO,252745.7033,2185.33,0.0251,27014,0.4376
30,4,Hybrid_ACO_PSO,250021.5868,2185.33,0.0120,27244,0.3674
30,5,ACO,322908.6139,2891.35,0.0148,28986,0.3644
30,5,PSO,254845.3596,2191.35,0.0158,30362,0.4380
30,5,Hybrid_ACO_PSO,253619.5376,2191.35,0.0117,29966,0.4366
40,1,ACO,381516.5493,3489.26,0.0151,28112,0.2930
40,1,PSO,272520.8050,2389.26,0.0179,28138,0.3736
40,1,Hybrid_ACO_PSO,263538.1299,2289.26,0.0190,28632,0.4348
40,2,ACO,390582.5852,3586.21,0.0160,26572,0.4388
40,2,PSO,262809.4395,2286.21,0.0265,26838,0.4110
40,2,Hybrid_ACO_PSO,240374.1201,2086.21,0.0154,26774,0.3796
40,3,ACO,379589.5809,3489.83,0.0132,26470,0.2996
40,3,PSO,270616.0774,2389.83,0.0139,26884,0.3954
40,3,Hybrid_ACO_PSO,260595.4217,2289.83,0.0161,26480,0.3806
40,4,ACO,379402.7949,3490.90,0.0098,27026,0.2654
40,4,PSO,281085.6917,2490.90,0.0114,27910,0.3598
40,4,Hybrid_ACO_PSO,280116.6893,2490.90,0.0087,27482,0.3598
40,5,ACO,382686.6801,3487.54,0.0131,29578,0.3460
40,5,PSO,283380.8164,2487.54,0.0149,29788,0.3730
40,5,Hybrid_ACO_PSO,262735.7924,2287.54,0.0138,29262,0.3932
